measured_on,ac_power_inv_30905
2016-11-09 13:55:00,0.0
2016-11-09 14:00:00,0.6537
2016-11-09 14:05:00,1.0418
2016-11-09 14:10:00,0.9763
2016-11-09 14:15:00,0.9012
2016-11-09 14:20:00,0.8387999999999999
2016-11-09 14:25:00,0.8125999999999999
2016-11-09 14:30:00,0.7636
2016-11-09 14:35:00,0.6505999999999998
2016-11-09 14:40:00,0.5967
2016-11-09 14:45:00,0.5758999999999999
2016-11-09 14:50:00,0.5192999999999999
2016-11-09 14:55:00,0.4384
2016-11-09 15:00:00,0.3497
2016-11-09 15:05:00,0.2553
2016-11-09 15:10:00,0.2155
2016-11-09 15:15:00,0.1426
2016-11-09 15:20:00,0.1052
2016-11-09 15:25:00,0.106
2016-11-09 15:30:00,0.1605999999999999
2016-11-09 15:35:00,0.1497
2016-11-09 15:40:00,0.1612
2016-11-09 15:45:00,0.1852
2016-11-09 15:50:00,0.1623
2016-11-09 15:55:00,0.135
2016-11-09 16:00:00,0.0772999999999999
2016-11-09 16:05:00,0.0604999999999999
2016-11-09 16:10:00,0.0471999999999999
2016-11-09 16:15:00,0.0386
2016-11-09 16:20:00,0.0236999999999999
2016-11-09 16:25:00,0.0189
2016-11-09 16:30:00,0.0126
2016-11-09 16:35:00,0.0044
2016-11-09 16:40:00,0.0
2016-11-09 16:45:00,0.0
2016-11-09 16:50:00,0.0
2016-11-09 16:55:00,0.0
2016-11-10 06:20:00,0.0
2016-11-10 06:25:00,0.0
2016-11-10 06:30:00,0.0
2016-11-10 06:35:00,0.0
2016-11-10 06:40:00,0.0
2016-11-10 06:45:00,0.0129999999999999
2016-11-10 06:50:00,0.0253999999999999
2016-11-10 06:55:00,0.0115999999999999
2016-11-10 07:00:00,0.0190999999999999
2016-11-10 07:05:00,0.0379
2016-11-10 07:10:00,0.0434
2016-11-10 07:15:00,0.049
2016-11-10 07:20:00,0.0495
2016-11-10 07:25:00,0.0548
2016-11-10 07:30:00,0.0591
2016-11-10 07:35:00,0.0599999999999999
2016-11-10 07:40:00,0.0632999999999999
2016-11-10 07:45:00,0.0655
2016-11-10 07:50:00,0.0659
2016-11-10 07:55:00,0.0680999999999999
2016-11-10 08:00:00,0.0704999999999999
2016-11-10 08:05:00,0.0730999999999999
2016-11-10 08:10:00,0.0764999999999999
2016-11-10 08:15:00,0.0778999999999999
2016-11-10 08:20:00,0.0806
2016-11-10 08:25:00,0.0832999999999999
2016-11-10 08:30:00,0.0894999999999999
2016-11-10 08:35:00,0.0952999999999999
2016-11-10 08:40:00,0.1895999999999999
2016-11-10 08:45:00,0.3395
2016-11-10 08:50:00,0.4648999999999999
2016-11-10 08:55:00,0.5473
2016-11-10 09:00:00,0.5997
2016-11-10 09:05:00,0.6736999999999999
2016-11-10 09:10:00,0.7046
2016-11-10 09:15:00,0.7280999999999999
2016-11-10 09:20:00,0.7487
2016-11-10 09:25:00,0.7616
2016-11-10 09:30:00,0.773
2016-11-10 09:35:00,0.8400999999999998
2016-11-10 09:40:00,0.9444
2016-11-10 09:45:00,1.0291
2016-11-10 09:50:00,1.1805
2016-11-10 09:55:00,1.2679
2016-11-10 10:00:00,1.3095
2016-11-10 10:05:00,1.327
2016-11-10 10:10:00,1.3399
2016-11-10 10:15:00,1.355
2016-11-10 10:20:00,1.386
2016-11-10 10:25:00,1.4194
2016-11-10 10:30:00,1.4563
2016-11-10 10:35:00,1.4757
2016-11-10 10:40:00,1.5079
2016-11-10 10:45:00,1.523
2016-11-10 10:50:00,1.563
2016-11-10 10:55:00,1.5772
2016-11-10 11:00:00,1.5867
2016-11-10 11:05:00,1.607
2016-11-10 11:10:00,1.6012
2016-11-10 11:15:00,1.5871
2016-11-10 11:20:00,1.5937
2016-11-10 11:25:00,1.585
2016-11-10 11:30:00,1.5868
2016-11-10 11:35:00,1.5635
2016-11-10 11:40:00,1.5459
2016-11-10 11:45:00,1.5616
2016-11-10 11:50:00,1.5693
2016-11-10 11:55:00,1.5667
2016-11-10 12:00:00,1.5478
2016-11-10 12:05:00,1.5475
2016-11-10 12:10:00,1.5585
2016-11-10 12:15:00,1.5503
2016-11-10 12:20:00,1.5074
2016-11-10 12:25:00,1.5109
2016-11-10 12:30:00,1.448
2016-11-10 12:35:00,1.4231
2016-11-10 12:40:00,1.4004
2016-11-10 12:45:00,1.3848
2016-11-10 12:50:00,1.3632
2016-11-10 12:55:00,1.3382
2016-11-10 13:00:00,1.305
2016-11-10 13:05:00,1.3101
2016-11-10 13:10:00,1.3036
2016-11-10 13:15:00,1.2846
2016-11-10 13:20:00,1.2697
2016-11-10 13:25:00,1.2526
2016-11-10 13:30:00,1.2486
2016-11-10 13:35:00,1.2398
2016-11-10 13:40:00,1.2325
2016-11-10 13:45:00,1.2441
2016-11-10 13:50:00,1.222
2016-11-10 13:55:00,1.1714
2016-11-10 14:00:00,1.1077
2016-11-10 14:05:00,1.0748
2016-11-10 14:10:00,1.0043
2016-11-10 14:15:00,0.9489
2016-11-10 14:20:00,0.9056
2016-11-10 14:25:00,0.8435
2016-11-10 14:30:00,0.7845999999999999
2016-11-10 14:35:00,0.6971
2016-11-10 14:40:00,0.6492999999999999
2016-11-10 14:45:00,0.6046
2016-11-10 14:50:00,0.5348
2016-11-10 14:55:00,0.4577
2016-11-10 15:00:00,0.3501
2016-11-10 15:05:00,0.2387
2016-11-10 15:10:00,0.1952
2016-11-10 15:15:00,0.1249
2016-11-10 15:20:00,0.1000999999999999
2016-11-10 15:25:00,0.0893
2016-11-10 15:30:00,0.1389
2016-11-10 15:35:00,0.1385
2016-11-10 15:40:00,0.1577
2016-11-10 15:45:00,0.1895999999999999
2016-11-10 15:50:00,0.1655
2016-11-10 15:55:00,0.1264
2016-11-10 16:00:00,0.0661999999999999
2016-11-10 16:05:00,0.0461999999999999
2016-11-10 16:10:00,0.0349
2016-11-10 16:15:00,0.0212999999999999
2016-11-10 16:20:00,0.004
2016-11-10 16:25:00,0.005
2016-11-10 16:30:00,0.008
2016-11-10 16:35:00,0.0022
2016-11-10 16:40:00,0.0
2016-11-10 16:45:00,0.0
2016-11-10 16:50:00,0.0
2016-11-11 06:20:00,0.0
2016-11-11 06:25:00,0.0
2016-11-11 06:30:00,0.0
2016-11-11 06:35:00,0.0
2016-11-11 06:40:00,0.0
2016-11-11 06:45:00,0.0063
2016-11-11 06:50:00,0.0244
2016-11-11 06:55:00,0.0198
2016-11-11 07:00:00,0.0086999999999999
2016-11-11 07:05:00,0.0369
2016-11-11 07:10:00,0.0437
2016-11-11 07:15:00,0.0476
2016-11-11 07:20:00,0.0519
2016-11-11 07:25:00,0.057
